PC6,gemeente,nhh,bsr6et,pBehoudend_x,pCalculerend_x,pIdealistisch_x,pVolgend_x,pGemakzuchtig_x,pSober_x,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,WONING,WONVOOR45,WON_4564,WON_6574,WON_7584,WON_8594,WON_9504,WON_0514,P_HUURWON,P_KOOPWON,WOZWONING,G_GAS_WON,G_ELEK_WON,UITKMINAOW,AFS_SUPERM,AV1_SUPERM,AV3_SUPERM,AV5_SUPERM,STED,pBehoudend_y,pCalculerend_y,pIdealistisch_y,pVolgend_y,pGemakzuchtig_y,pSober_y,segments,seg_name,Adoption Rate,Referentie_2030,Vrijstaande_woning,2_onder_1_kap,Rijwoning_hoek,Rijwoning_tussen,Appartementen,dominant_built_type,Label_A_en_beter,Label_B,Label_C,Label_D,Label_E,Label_F,Label_G,dominant_energy_label,dominant_built_year,dominant_age_group
5211AA,'s-Hertogenbosch,15,Calculerende individualisten,20.0,33.3,0.0,20.0,26.7,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,36.0,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AB,'s-Hertogenbosch,19,Gemakzuchtige ontplooiers,5.3,21.1,15.8,15.8,36.8,5.3,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,44.21,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AC,'s-Hertogenbosch,24,Idealistische voortrekkers,0.0,8.3,58.3,8.3,16.7,8.3,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,21.25,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AD,'s-Hertogenbosch,18,Idealistische voortrekkers,16.7,11.1,38.9,5.6,11.1,16.7,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,19.17,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AL,'s-Hertogenbosch,6,Gemakzuchtige ontplooiers,0.0,16.7,0.0,16.7,66.7,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,74.17,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AM,'s-Hertogenbosch,36,Gemakzuchtige ontplooiers,5.6,11.1,13.9,8.3,55.6,5.6,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,60.83,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AN,'s-Hertogenbosch,20,Volgende socialen,5.0,10.0,30.0,40.0,15.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,24.25,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AS,'s-Hertogenbosch,3,Idealistische voortrekkers,0.0,0.0,100.0,0.0,0.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,0.0,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AT,'s-Hertogenbosch,8,Gemakzuchtige ontplooiers,0.0,25.0,25.0,12.5,37.5,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,48.75,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AV,'s-Hertogenbosch,4,Gemakzuchtige ontplooiers,0.0,25.0,0.0,0.0,75.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,80.0,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AW,'s-Hertogenbosch,13,Gemakzuchtige ontplooiers,7.7,7.7,7.7,0.0,69.2,7.7,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,71.15,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211AX,'s-Hertogenbosch,4,Gemakzuchtige ontplooiers,25.0,0.0,0.0,0.0,75.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,76.25,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211BA,'s-Hertogenbosch,3,Idealistische voortrekkers,0.0,33.3,66.7,0.0,0.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,0.0,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211BB,'s-Hertogenbosch,3,Idealistische voortrekkers,0.0,0.0,100.0,0.0,0.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,0.0,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211BD,'s-Hertogenbosch,20,Gemakzuchtige ontplooiers,30.0,10.0,25.0,0.0,35.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,39.25,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211BE,'s-Hertogenbosch,15,Idealistische voortrekkers,6.7,13.3,33.3,13.3,20.0,13.3,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,26.0,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211BG,'s-Hertogenbosch,18,Idealistische voortrekkers,22.2,27.8,33.3,0.0,16.7,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,24.17,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211BH,'s-Hertogenbosch,19,Idealistische voortrekkers,10.5,10.5,73.7,5.3,0.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,0.0,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211BJ,'s-Hertogenbosch,16,Idealistische voortrekkers,12.5,25.0,43.8,6.3,12.5,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,19.69,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211BL,'s-Hertogenbosch,10,Calculerende individualisten,0.0,50.0,20.0,20.0,10.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,23.5,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211BN,'s-Hertogenbosch,21,Idealistische voortrekkers,19.0,23.8,42.9,9.5,4.8,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,12.38,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211BR,'s-Hertogenbosch,4,Idealistische voortrekkers,0.0,25.0,75.0,0.0,0.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,0.0,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211BS,'s-Hertogenbosch,5,Gemakzuchtige ontplooiers,0.0,20.0,0.0,0.0,80.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,83.0,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211BT,'s-Hertogenbosch,25,Idealistische voortrekkers,0.0,4.0,68.0,8.0,20.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,27.2,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211BV,'s-Hertogenbosch,4,Idealistische voortrekkers,0.0,0.0,100.0,0.0,0.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,0.0,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211BW,'s-Hertogenbosch,14,Calculerende individualisten,0.0,42.9,28.6,14.3,14.3,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,22.86,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211BX,'s-Hertogenbosch,12,Calculerende individualisten,16.7,41.7,16.7,16.7,8.3,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,20.42,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211CA,'s-Hertogenbosch,17,Gemakzuchtige ontplooiers,11.8,11.8,23.5,0.0,52.9,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,56.18,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211CC,'s-Hertogenbosch,16,Idealistische voortrekkers,0.0,31.3,43.8,6.3,18.8,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,28.12,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211CD,'s-Hertogenbosch,15,Calculerende individualisten,6.7,53.3,26.7,13.3,0.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,0.0,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211CE,'s-Hertogenbosch,15,Volgende socialen,6.7,26.7,20.0,33.3,6.7,6.7,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,15.0,2530505,0.07,0.86,0.79,8.33,89.95,Appartementen,4.03,20.82,24.39,7.8,4.76,36.81,1.39,Label_F,WONVOOR45,INW_2544
5211CJ,'s-Hertogenbosch,13,Idealistische voortrekkers,7.7,46.2,46.2,0.0,0.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,0.0,232598,8.09,48.53,16.91,24.26,2.21,2_onder_1_kap,0.74,1.47,0.0,1.47,5.15,25.74,65.44,Label_G,WONVOOR45,INW_2544
5211CK,'s-Hertogenbosch,14,Calculerende individualisten,0.0,64.3,14.3,21.4,0.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,0.0,232598,8.09,48.53,16.91,24.26,2.21,2_onder_1_kap,0.74,1.47,0.0,1.47,5.15,25.74,65.44,Label_G,WONVOOR45,INW_2544
5211CL,'s-Hertogenbosch,19,Calculerende individualisten,5.3,57.9,31.6,0.0,0.0,5.3,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,0.0,232598,8.09,48.53,16.91,24.26,2.21,2_onder_1_kap,0.74,1.47,0.0,1.47,5.15,25.74,65.44,Label_G,WONVOOR45,INW_2544
5211CM,'s-Hertogenbosch,18,Calculerende individualisten,0.0,77.8,11.1,11.1,0.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,0.0,232598,8.09,48.53,16.91,24.26,2.21,2_onder_1_kap,0.74,1.47,0.0,1.47,5.15,25.74,65.44,Label_G,WONVOOR45,INW_2544
5211CN,'s-Hertogenbosch,6,Calculerende individualisten,0.0,50.0,33.3,16.7,0.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,0.0,232598,8.09,48.53,16.91,24.26,2.21,2_onder_1_kap,0.74,1.47,0.0,1.47,5.15,25.74,65.44,Label_G,WONVOOR45,INW_2544
5211CP,'s-Hertogenbosch,8,Calculerende individualisten,12.5,87.5,0.0,0.0,0.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,0.0,232598,8.09,48.53,16.91,24.26,2.21,2_onder_1_kap,0.74,1.47,0.0,1.47,5.15,25.74,65.44,Label_G,WONVOOR45,INW_2544
5211CR,'s-Hertogenbosch,12,Calculerende individualisten,0.0,91.7,8.3,0.0,0.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,0.0,232598,8.09,48.53,16.91,24.26,2.21,2_onder_1_kap,0.74,1.47,0.0,1.47,5.15,25.74,65.44,Label_G,WONVOOR45,INW_2544
5211CS,'s-Hertogenbosch,15,Idealistische voortrekkers,20.0,33.3,40.0,6.7,0.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,0.0,232598,8.09,48.53,16.91,24.26,2.21,2_onder_1_kap,0.74,1.47,0.0,1.47,5.15,25.74,65.44,Label_G,WONVOOR45,INW_2544
5211CT,'s-Hertogenbosch,7,Calculerende individualisten,0.0,57.1,28.6,14.3,0.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,0.0,232598,8.09,48.53,16.91,24.26,2.21,2_onder_1_kap,0.74,1.47,0.0,1.47,5.15,25.74,65.44,Label_G,WONVOOR45,INW_2544
5211CV,'s-Hertogenbosch,10,Calculerende individualisten,0.0,80.0,0.0,10.0,10.0,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,28.5,232598,8.09,48.53,16.91,24.26,2.21,2_onder_1_kap,0.74,1.47,0.0,1.47,5.15,25.74,65.44,Label_G,WONVOOR45,INW_2544
5211CW,'s-Hertogenbosch,9,Idealistische voortrekkers,22.2,22.2,44.4,0.0,11.1,0.0,12765.0,49.63,50.37,7.09,14.1,36.35,25.38,17.08,80.0,10.0,10.0,8345.0,63.45,24.81,3.48,7.37,1.5,8145.0,46.04,4.97,1.96,23.08,15.04,5.71,3.13,70.0,30.0,250.0,1120.0,2450.0,10.81,0.4,3.2,16.8,31.1,1.0,6.9,13.1,23.4,9.9,39.5,7.1,3,S4,17.78,232598,8.09,48.53,16.91,24.26,2.21,2_onder_1_kap,0.74,1.47,0.0,1.47,5.15,25.74,65.44,Label_G,WONVOOR45,INW_2544
