PC6,gemeente,nhh,bsr6et,pBehoudend_x,pCalculerend_x,pIdealistisch_x,pVolgend_x,pGemakzuchtig_x,pSober_x,INWONER,MAN,VROUW,INW_014,INW_1524,INW_2544,INW_4564,INW_65PL,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,AANTAL_HH,TOTHH_EENP,TOTHH_MPZK,HH_EENOUD,HH_TWEEOUD,GEM_HH_GR,WONING,WONVOOR45,WON_4564,WON_6574,WON_7584,WON_8594,WON_9504,WON_0514,P_HUURWON,P_KOOPWON,WOZWONING,G_GAS_WON,G_ELEK_WON,UITKMINAOW,AFS_SUPERM,AV1_SUPERM,AV3_SUPERM,AV5_SUPERM,STED,pBehoudend_y,pCalculerend_y,pIdealistisch_y,pVolgend_y,pGemakzuchtig_y,pSober_y,segments,seg_name,Adoption Rate,Referentie_2030,Vrijstaande_woning,2_onder_1_kap,Rijwoning_hoek,Rijwoning_tussen,Appartementen,dominant_built_type,Label_A_en_beter,Label_B,Label_C,Label_D,Label_E,Label_F,Label_G,dominant_energy_label,dominant_built_year,dominant_age_group
5216AZ,'s-Hertogenbosch,18,Idealistische voortrekkers,16.7,16.7,44.4,16.7,5.6,0.0,7045.0,47.05,52.95,13.48,8.59,26.26,25.62,26.05,80.0,10.0,10.0,3800.0,49.08,26.45,6.71,16.97,1.8,3790.0,0.13,70.45,12.53,2.64,3.3,4.62,4.62,50.0,50.0,238.0,1260.0,2450.0,11.43,0.7,0.8,10.1,25.0,2.0,9.1,16.8,19.0,23.1,23.2,8.7,1,S2,12.22,3184372,3.09,2.23,7.85,23.38,63.45,Appartementen,6.61,6.39,20.51,22.82,39.77,3.9,0.0,Label_E,WON_4564,INW_2544
5216BA,'s-Hertogenbosch,3,Calculerende individualisten,0.0,66.7,33.3,0.0,0.0,0.0,7045.0,47.05,52.95,13.48,8.59,26.26,25.62,26.05,80.0,10.0,10.0,3800.0,49.08,26.45,6.71,16.97,1.8,3790.0,0.13,70.45,12.53,2.64,3.3,4.62,4.62,50.0,50.0,238.0,1260.0,2450.0,11.43,0.7,0.8,10.1,25.0,2.0,9.1,16.8,19.0,23.1,23.2,8.7,1,S2,0.0,3184372,3.09,2.23,7.85,23.38,63.45,Appartementen,6.61,6.39,20.51,22.82,39.77,3.9,0.0,Label_E,WON_4564,INW_2544
5216BB,'s-Hertogenbosch,24,Idealistische voortrekkers,4.2,8.3,62.5,8.3,12.5,4.2,7045.0,47.05,52.95,13.48,8.59,26.26,25.62,26.05,80.0,10.0,10.0,3800.0,49.08,26.45,6.71,16.97,1.8,3790.0,0.13,70.45,12.53,2.64,3.3,4.62,4.62,50.0,50.0,238.0,1260.0,2450.0,11.43,0.7,0.8,10.1,25.0,2.0,9.1,16.8,19.0,23.1,23.2,8.7,1,S2,19.58,3184372,3.09,2.23,7.85,23.38,63.45,Appartementen,6.61,6.39,20.51,22.82,39.77,3.9,0.0,Label_E,WON_4564,INW_2544
5216BC,'s-Hertogenbosch,12,Idealistische voortrekkers,16.7,25.0,33.3,0.0,25.0,0.0,7045.0,47.05,52.95,13.48,8.59,26.26,25.62,26.05,80.0,10.0,10.0,3800.0,49.08,26.45,6.71,16.97,1.8,3790.0,0.13,70.45,12.53,2.64,3.3,4.62,4.62,50.0,50.0,238.0,1260.0,2450.0,11.43,0.7,0.8,10.1,25.0,2.0,9.1,16.8,19.0,23.1,23.2,8.7,1,S2,30.0,3184372,3.09,2.23,7.85,23.38,63.45,Appartementen,6.61,6.39,20.51,22.82,39.77,3.9,0.0,Label_E,WON_4564,INW_2544
5216BD,'s-Hertogenbosch,18,Calculerende individualisten,27.8,27.8,22.2,22.2,0.0,0.0,7045.0,47.05,52.95,13.48,8.59,26.26,25.62,26.05,80.0,10.0,10.0,3800.0,49.08,26.45,6.71,16.97,1.8,3790.0,0.13,70.45,12.53,2.64,3.3,4.62,4.62,50.0,50.0,238.0,1260.0,2450.0,11.43,0.7,0.8,10.1,25.0,2.0,9.1,16.8,19.0,23.1,23.2,8.7,1,S2,0.0,3184372,3.09,2.23,7.85,23.38,63.45,Appartementen,6.61,6.39,20.51,22.82,39.77,3.9,0.0,Label_E,WON_4564,INW_2544
5216BG,'s-Hertogenbosch,21,Idealistische voortrekkers,14.3,19.0,42.9,19.0,4.8,0.0,7045.0,47.05,52.95,13.48,8.59,26.26,25.62,26.05,80.0,10.0,10.0,3800.0,49.08,26.45,6.71,16.97,1.8,3790.0,0.13,70.45,12.53,2.64,3.3,4.62,4.62,50.0,50.0,238.0,1260.0,2450.0,11.43,0.7,0.8,10.1,25.0,2.0,9.1,16.8,19.0,23.1,23.2,8.7,1,S2,12.14,3184372,3.09,2.23,7.85,23.38,63.45,Appartementen,6.61,6.39,20.51,22.82,39.77,3.9,0.0,Label_E,WON_4564,INW_2544
5216BH,'s-Hertogenbosch,20,Volgende socialen,25.0,20.0,15.0,35.0,5.0,0.0,7045.0,47.05,52.95,13.48,8.59,26.26,25.62,26.05,80.0,10.0,10.0,3800.0,49.08,26.45,6.71,16.97,1.8,3790.0,0.13,70.45,12.53,2.64,3.3,4.62,4.62,50.0,50.0,238.0,1260.0,2450.0,11.43,0.7,0.8,10.1,25.0,2.0,9.1,16.8,19.0,23.1,23.2,8.7,1,S2,13.75,3184372,3.09,2.23,7.85,23.38,63.45,Appartementen,6.61,6.39,20.51,22.82,39.77,3.9,0.0,Label_E,WON_4564,INW_2544
5216BJ,'s-Hertogenbosch,20,Volgende socialen,5.0,25.0,5.0,50.0,15.0,0.0,7045.0,47.05,52.95,13.48,8.59,26.26,25.62,26.05,80.0,10.0,10.0,3800.0,49.08,26.45,6.71,16.97,1.8,3790.0,0.13,70.45,12.53,2.64,3.3,4.62,4.62,50.0,50.0,238.0,1260.0,2450.0,11.43,0.7,0.8,10.1,25.0,2.0,9.1,16.8,19.0,23.1,23.2,8.7,1,S2,26.75,3184372,3.09,2.23,7.85,23.38,63.45,Appartementen,6.61,6.39,20.51,22.82,39.77,3.9,0.0,Label_E,WON_4564,INW_2544
5216BK,'s-Hertogenbosch,20,Volgende socialen,30.0,25.0,0.0,45.0,0.0,0.0,7045.0,47.05,52.95,13.48,8.59,26.26,25.62,26.05,80.0,10.0,10.0,3800.0,49.08,26.45,6.71,16.97,1.8,3790.0,0.13,70.45,12.53,2.64,3.3,4.62,4.62,50.0,50.0,238.0,1260.0,2450.0,11.43,0.7,0.8,10.1,25.0,2.0,9.1,16.8,19.0,23.1,23.2,8.7,1,S2,0.0,3184372,3.09,2.23,7.85,23.38,63.45,Appartementen,6.61,6.39,20.51,22.82,39.77,3.9,0.0,Label_E,WON_4564,INW_2544
5216BL,'s-Hertogenbosch,20,Volgende socialen,15.0,30.0,20.0,30.0,0.0,5.0,7045.0,47.05,52.95,13.48,8.59,26.26,25.62,26.05,80.0,10.0,10.0,3800.0,49.08,26.45,6.71,16.97,1.8,3790.0,0.13,70.45,12.53,2.64,3.3,4.62,4.62,50.0,50.0,238.0,1260.0,2450.0,11.43,0.7,0.8,10.1,25.0,2.0,9.1,16.8,19.0,23.1,23.2,8.7,1,S2,0.0,3184372,3.09,2.23,7.85,23.38,63.45,Appartementen,6.61,6.39,20.51,22.82,39.77,3.9,0.0,Label_E,WON_4564,INW_2544
5216BM,'s-Hertogenbosch,106,Idealistische voortrekkers,10.4,30.2,31.1,23.6,1.9,2.8,7045.0,47.05,52.95,13.48,8.59,26.26,25.62,26.05,80.0,10.0,10.0,3800.0,49.08,26.45,6.71,16.97,1.8,3790.0,0.13,70.45,12.53,2.64,3.3,4.62,4.62,50.0,50.0,238.0,1260.0,2450.0,11.43,0.7,0.8,10.1,25.0,2.0,9.1,16.8,19.0,23.1,23.2,8.7,1,S2,7.17,3184372,3.09,2.23,7.85,23.38,63.45,Appartementen,6.61,6.39,20.51,22.82,39.77,3.9,0.0,Label_E,WON_4564,INW_2544
5216BN,'s-Hertogenbosch,35,Idealistische voortrekkers,2.9,22.9,42.9,8.6,17.1,5.7,7045.0,47.05,52.95,13.48,8.59,26.26,25.62,26.05,80.0,10.0,10.0,3800.0,49.08,26.45,6.71,16.97,1.8,3790.0,0.13,70.45,12.53,2.64,3.3,4.62,4.62,50.0,50.0,238.0,1260.0,2450.0,11.43,0.7,0.8,10.1,25.0,2.0,9.1,16.8,19.0,23.1,23.2,8.7,1,S2,25.0,3184372,3.09,2.23,7.85,23.38,63.45,Appartementen,6.61,6.39,20.51,22.82,39.77,3.9,0.0,Label_E,WON_4564,INW_2544
