id_mzml,id_molecule,source,retention_time_exp,retention_time,rt_diff,tic,mass_exp,mass,cosine_similarity_20,scholle_similarity_20,cosine_similarity_40,scholle_similarity_40,root_similarity_20,root_similarity_40,cosine_similarity_isotopic_mod,num_isotopic_exp_peaks,num_isotopic_the_peaks,acquisition_mode,niveau_de_confiance,found_peaks_isotopic,niveau_de_confiance_1
44,284,INERIS,12.06955,8.002,4.067549999999999,1466.35986328125,435.228613579474,435.22704,0.0329465385433385,0.0316658763474967,0.0328898101187919,0.0292086779318513,0.142280048882629,0.200532770877713,0.961485512989047,1,4,Data independant,0,0,0
75,284,INERIS,7.383683333333,8.002,-0.6183166666670008,1451.35375976562,435.226900089126,435.22704,0.0869084341316558,0.0644738883693649,0.0344973214772815,0.0323040516049505,0.230569244697621,0.222662109385089,0.961485512989047,1,4,Data independant,0,0,0
58,142,INERIS,11.777683333333,10.175,1.602683333333001,1055.20910644531,428.231772857294,428.2324599999999,,,,,,,0.9580236034861881,1,4,Data independant,0,0,0
52,702,Agilent,8.04045,,,4335.02294921875,119.047043217228,119.04835,0.4914599869735261,0.41768056523566,0.77545245913525,0.7036344705372691,0.539051890271247,0.798706851220507,0.997088790445572,1,3,Data independant,0,0,0
60,207,INERIS,9.5501,10.031,-0.4809000000000001,1589.00390625,413.975046097266,413.9737,0.183298933940491,0.221586853140358,0.584205588004508,0.652325956441823,0.36057277030615,0.668685293289681,0.9961746104970709,1,3,Data independant,0,0,0
18,271,INERIS,11.720983333333,11.383,0.3379833333330016,49249.89453125,263.189147941563,263.18853,1.0,1.0,1.0,1.0,1.0,1.0,0.994210344872585,2,4,Data independant,0,1,0
16,243,INERIS,9.461416666667,7.872999999999999,1.588416666667001,11543.298828125,272.117667455899,272.11946,0.201036452218141,0.375287377269736,0.142528331191665,0.143154828860191,0.322735439597676,0.448629715105702,0.0475344953999718,2,4,Data independant,0,1,0
46,544,Agilent,6.26725,,,3267.60009765625,248.041542414549,248.03973,,,0.0542424618471237,0.0177981564523397,,0.205418047203429,0.9904563107595842,1,3,Data independant,0,0,0
8,89,INERIS,10.512833333333,12.995,-2.482166666667,12790.634765625,278.150833769812,278.15181,0.218557117882362,0.320522871519984,0.214858489203368,0.19379799656909,0.594729687343209,0.56272229757711,0.984422300120622,1,4,Data independant,0,0,0
16,163,INERIS,5.385366666667,5.46,-0.07463333333299982,33432.53125,129.101209937386,129.10145,0.938957436193424,0.9200816942916791,0.152581022307448,0.154497500120732,0.9325109347357571,0.41247442735431,0.99963194183295,2,3,Data independant,0,1,0
58,544,Agilent,6.403066666667,,,2075.728515625,248.037791368292,248.03973,,,0.141303286885086,0.15173411505673,,0.306841413565973,0.9904563107595842,1,3,Data independant,0,0,0
36,89,INERIS,8.13175,12.995,-4.863249999999999,13130.73046875,278.153336486993,278.15181,0.174861337818908,0.213503917784314,0.123670443367281,0.08688363940067599,0.5380439674581851,0.426149647259368,0.991619673859101,2,4,Data independant,0,1,0
70,702,Agilent,6.99845,,,1572.56091308594,119.046429100714,119.04835,,,0.04646283034013599,0.0623299201064922,,0.25087335358393,0.997088790445572,1,3,Data independant,0,0,0
38,89,INERIS,19.940366666667,12.995,6.945366666667001,11190.48046875,278.150124518826,278.15181,0.195918514108207,0.266431238234421,0.165469372557533,0.14867879547872,0.5745155919772691,0.516925315428223,0.9573825598479359,3,4,Data independant,0,1,0
38,89,INERIS,10.155233333333,12.995,-2.839766666667,21671.06640625,278.152022955876,278.15181,0.108559683405098,0.0417711239211443,0.219604145239473,0.154593532242293,0.31158116581613,0.566199234648724,0.984422300120622,1,4,Data independant,0,0,0
85,35,INERIS,9.779966666667,4.584,5.195966666667001,1104.30187988281,240.055059429096,240.05686,0.139194881766604,0.154494475202553,0.175155517803784,0.158704009241575,0.332650189024625,0.3555486170223621,0.419221435331129,2,4,Data independant,0,1,0
8,307,Agilent,9.098466666667,,,100182.7421875,193.088956388983,193.08915,0.98733242571366,0.9877779200816941,0.443156021705009,0.6543108533501729,0.9340222768330279,0.701740573050311,0.994163253605425,3,3,Data independant,0,1,0
83,209,INERIS,10.541783333333,10.417,0.1247833333329993,253289.96875,499.937577322603,499.93749,1.0,1.0,0.9480551278441021,0.9979580155004859,1.0,0.9802563627952479,0.99217999995779,4,4,Data independant,0,1,0
28,1105,Agilent,13.59845,,,10563.154296875,398.244182384219,398.24334,0.4148809002711,0.323185298433023,0.680809081896846,0.7162331376775409,0.662473528435214,0.827487589640691,0.01985260649701,2,4,Data independant,0,1,0
54,539,Agilent,15.420616666667,,,918072.8125,206.167141607867,206.16707,0.957971624075122,0.9815816864094459,0.075736648592865,0.0710339277528198,0.8581657755153249,0.3942278582047121,0.9999989382300172,3,3,Data independant,0,1,0
10,54,INERIS,9.855183333333,10.377,-0.5218166666670001,17279.3359375,236.096241773538,236.09496,0.935941968701575,0.9356674942863259,0.633635346442141,0.8068581361225121,0.844239719163011,0.806767208558065,0.00606155618561854,2,4,Data independant,0,1,0
16,976,Agilent,10.991516666667,,,23320.71875,383.074623079061,383.07513,0.394721863304384,0.58813535606483,0.48178497947114,0.593131180532845,0.537031400245819,0.648439911839905,0.9383687946524141,2,5,Data independant,0,1,0
85,539,Agilent,15.16745,,,1251778.25,206.167855963496,206.16707,0.957892134939396,0.981547070973403,0.0814567366070729,0.074844241072425,0.8511250929818359,0.4067830814357729,0.999983495898552,3,3,Data independant,0,1,0
