id_mzml,id_molecule,source,retention_time_exp,retention_time,rt_diff,tic,mass_exp,mass,cosine_similarity_20,scholle_similarity_20,cosine_similarity_40,scholle_similarity_40,root_similarity_20,root_similarity_40,cosine_similarity_isotopic_mod,num_isotopic_exp_peaks,num_isotopic_the_peaks,acquisition_mode,niveau_de_confiance,found_peaks_isotopic,niveau_de_confiance_1,rt_diff_abs
60,35,INERIS,7.467116666667,4.584,2.883116666667,1074.85974121094,240.057787831484,240.05686,0.0926775905450001,0.0911409642398193,0.259351201536979,0.22695017347716,0.222765828766877,0.39674364740795,0.990500382229052,1,4,Data independant,0,0,0,2.883116666667
77,142,INERIS,11.096083333333,10.175,0.9210833333329997,1815.70324707031,428.234221924653,428.2324599999999,0.119039560728197,0.198697750472881,,,0.285335060193043,,0.9580236034861881,1,4,Data independant,0,0,0,0.9210833333329997
72,145,INERIS,20.052816666667,15.805,4.247816666666999,59014.21875,530.468495916929,530.4699,0.999608112953269,0.9996316761885851,0.361805526141853,0.808073651752593,0.982322678825063,0.473471645017948,0.999702335185636,4,5,Data independant,0,1,0,4.247816666666999
54,142,INERIS,7.538683333333,10.175,-2.636316666667001,1066.96325683594,428.234455527915,428.2324599999999,,,,,,,0.9580236034861881,1,4,Data independant,0,0,0,2.636316666667001
50,210,INERIS,21.946466666667,4.47,17.476466666667,1402.13464355469,263.982856393695,263.98328,1.0,1.0,0.4716509649670561,0.279970669465526,1.0,0.650721321168261,0.998479231528137,1,3,Data independant,0,0,0,17.476466666667
18,243,INERIS,7.99205,7.872999999999999,0.1190500000000005,22848.7109375,272.11948570761,272.11946,0.522569965516816,0.6937130182146021,0.202619460656651,0.186927737669769,0.542691404059502,0.4996644307591611,0.0475344953999718,2,4,Data independant,0,1,0,0.1190500000000005
44,195,INERIS,5.460483333333,6.335,-0.8745166666669997,1673.16174316406,299.950611571851,299.95027,,,0.9575793814116171,0.937449684248613,,0.9272595916680708,0.997281912025154,1,4,Data independant,0,0,0,0.8745166666669997
8,89,INERIS,15.591833333333,12.995,2.596833333333002,10380.560546875,278.150660643259,278.15181,0.179684790615444,0.225645601382363,0.0774509508783738,0.0597712991766518,0.545310365773019,0.366201718374863,0.991619673859101,2,4,Data independant,0,1,0,2.596833333333002
64,210,INERIS,8.444383333333,4.47,3.974383333333001,1192.18566894531,263.982108121289,263.98328,,,0.5572108871425949,0.354256144002918,,0.673155432044809,0.998479231528137,1,3,Data independant,0,0,0,3.974383333333001
31,89,INERIS,9.886983333333,12.995,-3.108016666667,11070.2080078125,278.150995221569,278.15181,0.253050163865022,0.399280552026691,0.193318137284916,0.179382228384027,0.629449650995668,0.5597068003158829,0.0124268343475331,2,4,Data independant,0,1,0,3.108016666667
18,40,INERIS,12.993916666667,12.836,0.1579166666670009,263789.71875,325.223339348445,325.22531,0.6034320362600539,0.850732658335965,0.245113234329665,0.195449486009667,0.835120292605183,0.5635635731315041,0.998581181942156,3,4,Data independant,0,1,0,0.1579166666670009
32,89,INERIS,18.923183333333,12.995,5.928183333333001,13030.107421875,278.151007004234,278.15181,0.232692380339641,0.353810715558909,0.20062743343033,0.229816195694209,0.6155104248862429,0.56251105960125,0.984422300120622,1,4,Data independant,0,0,0,5.928183333333001
10,141,INERIS,7.437883333333,10.175,-2.737116666667001,10128.9775390625,428.231150261953,428.2324599999999,0.0137361678573226,0.0129589455597576,0.4285247734626501,0.7214971604439742,0.0978214156231343,0.5434427726130711,0.148153586896049,2,4,Data independant,0,1,0,2.737116666667001
52,204,INERIS,8.889066666667,9.334,-0.4449333333329992,7109.62939453125,399.9430211185399,399.94388,1.0,1.0,0.866604641741052,0.528891381580944,1.0,0.8551935877595659,0.995859731523303,1,4,Data independant,0,0,0,0.4449333333329992
77,145,INERIS,15.429216666667,15.805,-0.3757833333330005,38389.43359375,530.4682060824321,530.4699,0.999608112953269,0.9996316761885851,0.566035136427342,0.6619955379374649,0.982322678825063,0.483523174349972,0.979811615140902,3,5,Data independant,0,1,0,0.3757833333330005
44,142,INERIS,13.869666666667,10.175,3.694666666666999,1272.75085449219,428.233795445948,428.2324599999999,0.9357753078994722,0.9095234171001491,0.9915039500897841,0.99839270255527,0.9189316520750451,0.899809536777463,0.9580236034861881,1,4,Data independant,0,0,0,3.694666666666999
85,284,INERIS,10.911466666667,8.002,2.909466666666999,1469.95922851562,435.227199538988,435.22704,0.0214788444390742,0.00731076284176735,0.0315532252482261,0.0212440513917558,0.0892794291288049,0.165072985603314,0.0178159549251606,2,4,Data independant,0,1,0,2.909466666666999
44,284,INERIS,6.823433333333,8.002,-1.178566666667001,1695.35900878906,435.226952653749,435.22704,0.078732141834739,0.0616035042949359,0.0242667932556364,0.0236253020477595,0.197869799247087,0.171673730463421,0.961485512989047,1,4,Data independant,0,0,0,1.178566666667001
