Site;Type;Site #;Moment;Dates;Year;Season;2378-TCDD;12378-PCDD;123478-HxCDD;123678-HxCDD;123789-HxCDD;1234678-HpCDD;OCDD;2378-TCDF;12378-PeCDF;23478-PeCDF;123478-HxCDF;123678-HxCDF;234678-HxCDF;123789-HxCDF;1234678-HpCDF;1234789-HpCDF;OCDF;PCB-77;PCB-81;PCB-105;PCB-114;PCB-118;PCB-123;PCB-126;PCB-156;PCB-157;PCB-167;PCB-169;PCB-189;Total TCDF;Total TCDD;Total PeCDF;Total PeCDD;Total HxCDF;Total HxCDD;Total HpCDF;Total HpCDD;DF- TEQ;PCB - TEQ;TOTAL
Penn Nursery;Rural;1;11;04/04 - 05/02;2000;Spring;0,333235039;1,699606541;2,112645441;5,137643124;3,665225951;89,08950693;507,0769646;2,821533787;2,234867569;3,38123924;3,937709402;3,521075734;4,931662889;1,181959879;23,21896914;2,484703979;28,41808281;46,66980086;;252,5806562;;745,4428277;;6,026269894;53,17381548;13,0026371;;0,764247781;;103,7698225;11,06182159;44,74156704;11,77035046;42,70405226;60,7167182;42,27088266;392,9272481;7,153785315;0,662147401;7,815932716
Penn Nursery;Rural;1;12;08/22 - 09/19;2000;Summer;1,107819233;4,541089917;2,644455689;5,6546234;4,291650467;55,09307529;272,2008004;2,117750873;1,974149277;2,908801879;3,427556434;4,061341332;4,14407374;0,461860497;21,51812774;1,310054007;16,37107884;68,90715132;;295,2900985;;946,8219682;;5,460587334;42,44271878;9,697828199;;0,521984348;;92,94253056;9,684163687;60,65155022;14,94624293;81,19552249;63,83662368;34,49369963;227,0246824;10,12688957;0,607436557;10,73432613
Penn Nursery;Rural;1;13;11/22 - 12/19;2000;Fall;0,873891432;4,842322966;6,343093725;12,09178382;11,01664149;200,0537264;924,4993907;3,160967659;2,897717706;5,425901366;5,451980333;4,891036508;7,291285612;0,347391527;30,93851222;4,069795066;35,56728289;20,45575148;;176,7233838;;486,0223962;;3,815894177;39,69268028;8,776802636;;0,856177417;;101,9638416;21,25534246;63,89839044;53,59818247;53,93524082;134,9133866;60,71281998;689,3251683;15,12897474;0,430656773;15,55963152
Penn Nursery;Rural;1;14;01/31 - 02/26;2001;Winter;0,554523235;3,450052838;5,456579268;10,22689188;9,401464622;163,8732714;916,8547204;3,726961255;3,280870271;6,327569266;6,170395483;6,319798876;8,532240622;0,535450461;32,15104522;4,246517738;50,67918524;27,54532358;;147,5021208;;480,2153551;;5,435034098;33,63872157;7,949461427;;1,059951737;;137,3928443;20,55727122;76,30239707;40,54907003;67,72388732;132,6649157;56,61929464;585,9749447;13,33121972;0,598135664;13,92935539
Penn Nursery;Rural;1;15;05/03 - 05/28;2001;Spring;0,660247585;2,633304103;2,486112704;4,844633906;4,053336016;80,57287971;683,3116699;1,8612218;1,592203576;2,482269586;3,330445616;3,602922646;4,069477109;0,411597883;56,87890746;3,931124879;81,84533591;77,47532702;;294,5834104;;754,0388669;;5,622480886;49,54393342;10,89754395;;0,637573191;;66,4644111;7,217374644;37,62104572;17,02155167;68,49357713;61,2600614;99,91567435;231,6754202;8,195349661;0,62239473;8,817744391
Penn Nursery;Rural;1;16;08/02 - 08/27;2001;Summer;1,653153482;6,579354866;4,228355025;8,438001829;5,943275334;74,30341382;344,8718103;2,734666861;2,348327238;2,916106914;4,70140577;6,070669414;5,17772303;0,34892318;42,6306917;2,021972706;20,6369501;108,8542325;;401,9978102;;1045,600424;;9,552180357;60,81508304;14,23339313;;0,873347295;;100,1136326;20,04808656;65,7071345;39,03514969;132,2362429;109,1036755;67,19102312;310,8917409;14,24130569;1,037983279;15,27928897
Penn Nursery;Rural;1;17;11/01 - 11/26;2001;Fall;0,464445835;2,295375539;3,152250641;5,777193527;5,883997759;103,8945803;675,6060423;2,189486771;2,053692818;3,512028328;4,429629264;4,127525863;5,965474131;0,530359304;29,85422429;3,318560089;27,57471681;34,51912802;;185,6834308;;477,733197;;3,858379197;34,50692182;7,526646859;;0,592000604;;94,17020747;8,894656503;45,20962141;18,68189124;52,08018513;76,75745568;49,67403834;360,0688047;8,662260257;0,428213356;9,090473614
Penn Nursery;Rural;1;18;02/07 - 03/04;2002;Winter;0,674649171;4,87942574;8,832489386;17,24321328;16,84544833;343,4368192;1052,631247;1,704623328;1,5085214;2,466786644;3,42885685;3,504663416;4,255119153;0,628111549;24,66669568;3,157533734;25,07294863;23,84453103;;121,418704;;290,2770987;;2,786988897;24,56454706;5,737298504;;0,463912771;;72,29429295;22,57601497;32,20169275;53,51241125;42,58426544;204,2556708;60,33705105;723,356207;16,01954082;0,308260655;16,32780148
Penn Nursery;Rural;1;19;05/02 - 05/27;2002;Spring;0,336391602;1,448910221;1,568729136;2,933766117;2,387990962;38,97889011;233,3793872;0;1,32429855;2,011759571;2,221143124;2,605162744;2,701317423;0,385217809;14,10598123;1,304827977;17,01518447;40,61022463;;184,9671539;;487,9852941;;3,165316169;39,40904001;8,680281247;;0,428352619;;56,75492469;4,673536752;27,17762569;8,011691705;35,38671906;37,13487702;24,5227381;143,79408;4,527906747;0,355074471;4,882981218
Penn Nursery;Rural;1;20;08/01 - 08/26;2002;Summer;1,223183694;7,366848691;3,717450349;7,013153502;5,377276742;55,008218;290,5607442;1,601412654;1,941672684;2,312891995;4,250183648;5,645979941;4,365550783;0,21028946;35,50562296;1,442527284;12,99033934;150,8400458;5,775366373;318,3221657;26,16409783;865,9462956;20,40713178;96,8791861;158,8038829;39,79611209;182,1465971;12,02709679;29,22760637;69,99543101;15,91423905;116,8382845;50,97416518;117,1651094;81,57507855;58,64943842;200,1245935;13,57090888;10,11477254;23,68568142
